Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
6/3/2013,3.47,3,2.84,2.84,2.86,2.86,3.31,3.31,3.89,3.89,3.89,3.89,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88
6/10/2013,3.33,2.96,2.9,2.9,2.94,2.94,3.39,3.39,3.94,3.94,3.94,3.94,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
6/17/2013,3.33,3.07,2.94,2.94,3.03,3.03,3.46,3.46,4.01,4.01,4.01,4.01,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04
6/24/2013,3.32,2.92,2.91,2.91,2.99,2.99,3.46,3.46,4.02,4.02,4.02,4.02,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/1/2013,3.59,3.27,3.18,3.18,3.36,3.36,3.83,3.83,4.33,4.33,4.33,4.33,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53
7/8/2013,3.41,3.16,3.16,3.16,3.38,3.38,3.85,3.85,4.35,4.35,4.35,4.35,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
7/15/2013,3.59,3.28,3.25,3.25,3.55,3.55,4.05,4.05,4.56,4.56,4.56,4.56,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58
7/22/2013,3.41,3.18,3.14,3.14,3.41,3.41,3.92,3.92,4.48,4.48,4.48,4.48,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
7/29/2013,3.4,3.18,3.19,3.19,3.44,3.44,3.96,3.96,4.51,4.51,4.51,4.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
8/5/2013,3.39,3.16,3.11,3.11,3.42,3.42,3.99,3.99,4.54,4.54,4.54,4.54,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
8/12/2013,3.18,3.04,3.02,3.02,3.39,3.39,3.98,3.98,4.56,4.56,4.56,4.56,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46
8/19/2013,3.42,3.08,3.16,3.16,3.43,3.43,4.02,4.02,4.57,4.57,4.57,4.57,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46
8/26/2013,3.6,3.17,3.15,3.15,3.41,3.41,4.02,4.02,4.57,4.57,4.57,4.57,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65
9/2/2013,3.39,3.08,3.19,3.19,3.44,3.44,3.99,3.99,4.51,4.51,4.51,4.51,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
9/9/2013,3.64,3.26,3.26,3.26,3.48,3.48,4.06,4.06,4.56,4.56,4.56,4.56,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
9/16/2013,3.42,3.14,3.24,3.24,3.42,3.42,3.99,3.99,4.52,4.52,4.52,4.52,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
9/23/2013,3.4,3.05,3.12,3.12,3.31,3.31,3.88,3.88,4.46,4.46,4.46,4.46,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
9/30/2013,3.38,3.05,3.08,3.08,3.27,3.27,3.83,3.83,4.41,4.41,4.41,4.41,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
10/7/2013,3.38,3.12,3.05,3.05,3.27,3.27,3.83,3.83,4.4,4.4,4.4,4.4,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.39,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
10/14/2013,3.39,3.05,3.01,3.01,3.21,3.21,3.8,3.8,4.38,4.38,4.38,4.38,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29
10/21/2013,3.38,3.01,2.98,2.98,3.23,3.23,3.85,3.85,4.45,4.45,4.45,4.45,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
10/28/2013,3.53,3.1,3.02,3.02,3.16,3.16,3.73,3.73,4.32,4.32,4.32,4.32,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
11/4/2013,3.39,3.02,2.95,2.95,3.12,3.12,3.69,3.69,4.29,4.29,4.29,4.29,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
11/11/2013,3.54,3.08,2.98,2.98,3.16,3.16,3.78,3.78,4.37,4.37,4.37,4.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23
11/18/2013,3.36,2.97,2.92,2.92,3.17,3.17,3.82,3.82,4.44,4.44,4.44,4.44,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
11/25/2013,3.36,2.94,2.94,2.94,3.15,3.15,3.81,3.81,4.43,4.43,4.43,4.43,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
12/2/2013,3.35,2.93,2.92,2.92,3.14,3.14,3.8,3.8,4.42,4.42,4.42,4.42,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
12/9/2013,3.34,2.92,2.86,2.86,3.15,3.15,3.84,3.84,4.46,4.46,4.46,4.46,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
12/16/2013,3.25,2.84,2.81,2.81,3.1,3.1,3.77,3.77,4.38,4.38,4.38,4.38,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
12/23/2013,3.5,3.01,2.92,2.92,3.12,3.12,3.79,3.79,4.39,4.39,4.39,4.39,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53,4.53
12/30/2013,3.49,3.01,2.98,2.98,3.16,3.16,3.81,3.81,4.35,4.35,4.35,4.35,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54
1/6/2014,3.49,3.03,2.99,2.99,3.21,3.21,3.87,3.87,4.43,4.43,4.43,4.43,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
1/13/2014,3.49,3.08,3.08,3.08,3.31,3.31,3.95,3.95,4.5,4.5,4.5,4.5,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
1/20/2014,3.49,3.09,3.06,3.06,3.3,3.3,3.9,3.9,4.44,4.44,4.44,4.44,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
1/27/2014,3.47,3.09,3.1,3.1,3.35,3.35,3.92,3.92,4.42,4.42,4.42,4.42,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,3.54,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
2/3/2014,3.3,2.98,3.07,3.07,3.32,3.32,3.9,3.9,4.41,4.41,4.41,4.41,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
2/10/2014,3.44,3,2.98,2.98,3.28,3.28,3.86,3.86,4.37,4.37,4.37,4.37,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29
2/17/2014,3.3,2.93,3,3,3.25,3.25,3.84,3.84,4.37,4.37,4.37,4.37,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
2/24/2014,3.13,2.94,2.95,2.95,3.28,3.28,3.87,3.87,4.39,4.39,4.39,4.39,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39
3/3/2014,3.27,2.92,3,3,3.25,3.25,3.83,3.83,4.34,4.34,4.34,4.34,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
3/10/2014,3.08,2.8,2.91,2.91,3.19,3.19,3.77,3.77,4.28,4.28,4.28,4.28,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
3/17/2014,3.22,2.9,2.97,2.97,3.25,3.25,3.83,3.83,4.32,4.32,4.32,4.32,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
3/24/2014,3.23,2.9,2.94,2.94,3.18,3.18,3.73,3.73,4.2,4.2,4.2,4.2,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37
3/31/2014,3.18,2.92,3.08,3.08,3.3,3.3,3.81,3.81,4.2,4.2,4.2,4.2,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
4/7/2014,3.19,2.92,3.09,3.09,3.32,3.32,3.85,3.85,4.24,4.24,4.24,4.24,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
4/14/2014,3.34,2.96,3.06,3.06,3.29,3.29,3.82,3.82,4.23,4.23,4.23,4.23,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
4/21/2014,3.37,2.97,3.03,3.03,3.23,3.23,3.73,3.73,4.15,4.15,4.15,4.15,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
4/28/2014,3.37,2.99,3.06,3.06,3.23,3.23,3.74,3.74,4.12,4.12,4.12,4.12,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,3.48,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
5/5/2014,3.38,3.01,3.06,3.06,3.21,3.21,3.73,3.73,4.11,4.11,4.11,4.11,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
5/12/2014,3.17,2.9,3.09,3.09,3.25,3.25,3.73,3.73,4.11,4.11,4.11,4.11,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,3.41,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
5/19/2014,3.36,2.99,3.03,3.03,3.17,3.17,3.67,3.67,4.08,4.08,4.08,4.08,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
5/26/2014,3.17,2.86,2.92,2.92,3.12,3.12,3.61,3.61,4.03,4.03,4.03,4.03,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19,4.19
6/2/2014,3.15,2.86,2.91,2.91,3.08,3.08,3.57,3.57,3.97,3.97,3.97,3.97,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
6/9/2014,3.14,2.84,2.9,2.9,3.09,3.09,3.59,3.59,3.97,3.97,3.97,3.97,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
6/16/2014,3.14,2.89,2.99,2.99,3.21,3.21,3.7,3.7,4.08,4.08,4.08,4.08,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
6/23/2014,3.15,2.92,3.01,3.01,3.16,3.16,3.62,3.62,3.99,3.99,3.99,3.99,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,3.37,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22
6/30/2014,3.14,2.91,2.99,2.99,3.1,3.1,3.57,3.57,3.94,3.94,3.94,3.94,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
7/7/2014,3.12,2.9,2.97,2.97,3.14,3.14,3.61,3.61,3.99,3.99,3.99,3.99,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16
7/14/2014,3.14,2.94,3.04,3.04,3.15,3.15,3.6,3.6,3.96,3.96,3.96,3.96,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21
7/21/2014,3.13,2.91,3.01,3.01,3.13,3.13,3.57,3.57,3.91,3.91,3.91,3.91,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
7/28/2014,3.13,2.93,3.1,3.1,3.19,3.19,3.59,3.59,3.9,3.9,3.9,3.9,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18,4.18
8/4/2014,3.12,2.96,3.12,3.12,3.21,3.21,3.61,3.61,3.9,3.9,3.9,3.9,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
8/11/2014,3.28,2.96,3.04,3.04,3.18,3.18,3.61,3.61,3.93,3.93,3.93,3.93,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
8/18/2014,3.29,2.98,3.05,3.05,3.17,3.17,3.59,3.59,3.91,3.91,3.91,3.91,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
8/25/2014,3.31,2.98,3.04,3.04,3.15,3.15,3.54,3.54,3.83,3.83,3.83,3.83,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
9/1/2014,3.32,3.05,3.1,3.1,3.17,3.17,3.52,3.52,3.79,3.79,3.79,3.79,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
9/8/2014,3.14,2.96,3.11,3.11,3.17,3.17,3.54,3.54,3.81,3.81,3.81,3.81,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14
